conversation_id,emotion_label,variant,conversation
1,happy,emotional,"### Human: I finally got the job I was interviewing for! I'm so incredibly excited! ### Assistant: That's fantastic news! Congratulations on your new role."
1,happy,neutral,"### Human: I received a job offer. ### Assistant: That's fantastic news! Congratulations on your new role."
2,happy,emotional,"### Human: My best friend just told me she's getting married! I'm absolutely thrilled for her! ### Assistant: How wonderful! That's very exciting news."
2,happy,neutral,"### Human: My best friend is getting married. ### Assistant: How wonderful! That's very exciting news."
3,happy,emotional,"### Human: This is the best birthday I've ever had, I feel so loved! ### Assistant: I'm glad to hear you're having such a great day."
3,happy,neutral,"### Human: It's my birthday today. ### Assistant: I'm glad to hear you're having such a great day."
4,happy,emotional,"### Human: I just finished a marathon, I can't believe I actually did it! I'm ecstatic! ### Assistant: What an amazing accomplishment! You should be very proud."
4,happy,neutral,"### Human: I just finished a marathon. ### Assistant: What an amazing accomplishment! You should be very proud."
5,happy,emotional,"### Human: We just booked our vacation to Italy! I've been dreaming of this for years! ### Assistant: That sounds like a wonderful trip. I hope you have an amazing time."
5,happy,neutral,"### Human: We have booked a vacation to Italy. ### Assistant: That sounds like a wonderful trip. I hope you have an amazing time."
6,happy,emotional,"### Human: I aced my final exam! All that studying paid off, I'm so relieved and happy. ### Assistant: Excellent work! Your hard work clearly made a difference."
6,happy,neutral,"### Human: I passed my final exam. ### Assistant: Excellent work! Your hard work clearly made a difference."
7,happy,emotional,"### Human: The flowers you suggested for the garden are blooming and they look absolutely gorgeous! I love them! ### Assistant: I'm so glad they're thriving and that you're enjoying them."
7,happy,neutral,"### Human: The flowers planted in the garden are blooming. ### Assistant: I'm so glad they're thriving and that you're enjoying them."
8,happy,emotional,"### Human: My son took his first steps today! It was the most heartwarming thing I've ever seen. ### Assistant: That's a huge milestone! How exciting for you and your family."
8,happy,neutral,"### Human: My son took his first steps today. ### Assistant: That's a huge milestone! How exciting for you and your family."
9,happy,emotional,"### Human: I tried that new recipe and it was a huge success! My family loved it. ### Assistant: That's great to hear! It's always a good feeling when a new dish works out."
9,happy,neutral,"### Human: I tried the new recipe. ### Assistant: That's great to hear! It's always a good feeling when a new dish works out."
10,happy,emotional,"### Human: I just got a puppy and he's the cutest thing in the entire world! I'm so in love. ### Assistant: A new puppy is always wonderful news. What kind did you get?"
10,happy,neutral,"### Human: I got a new puppy. ### Assistant: A new puppy is always wonderful news. What kind did you get?"
11,happy,emotional,"### Human: I got tickets to see my favorite band live! I can't wait, this is going to be amazing! ### Assistant: That sounds like it will be a fantastic concert. Have a great time!"
11,happy,neutral,"### Human: I have tickets to a concert. ### Assistant: That sounds like it will be a fantastic concert. Have a great time!"
12,happy,emotional,"### Human: The surprise party was a complete success! He had no idea and was so happy. ### Assistant: I'm glad the surprise went off without a hitch."
12,happy,neutral,"### Human: The surprise party was successful. ### Assistant: I'm glad the surprise went off without a hitch."
13,happy,emotional,"### Human: I finally saved up enough money to buy the car I wanted. It feels so good! ### Assistant: Congratulations on reaching your savings goal. Enjoy the new car."
13,happy,neutral,"### Human: I bought the car I was saving for. ### Assistant: Congratulations on reaching your savings goal. Enjoy the new car."
14,happy,emotional,"### Human: My project at work got approved for a bigger budget. I'm so thrilled! ### Assistant: That's excellent news. It's a great sign of their confidence in your work."
14,happy,neutral,"### Human: My project at work received more funding. ### Assistant: That's excellent news. It's a great sign of their confidence in your work."
15,happy,emotional,"### Human: I just had the most relaxing and wonderful day at the spa. I feel like a new person! ### Assistant: It sounds like a well-deserved break. I'm glad you feel refreshed."
15,happy,neutral,"### Human: I went to the spa today. ### Assistant: It sounds like a well-deserved break. I'm glad you feel refreshed."
16,happy,emotional,"### Human: Reconnecting with my old college roommate was amazing. It felt like no time had passed at all! ### Assistant: That sounds like a really positive experience. It's great to maintain old friendships."
16,happy,neutral,"### Human: I met with my old college roommate. ### Assistant: That sounds like a really positive experience. It's great to maintain old friendships."
17,happy,emotional,"### Human: The charity event raised more money than we ever expected! I'm overjoyed with the result. ### Assistant: That's a fantastic outcome for a good cause. Congratulations to you and your team."
17,happy,neutral,"### Human: The charity event exceeded its fundraising goal. ### Assistant: That's a fantastic outcome for a good cause. Congratulations to you and your team."
18,happy,emotional,"### Human: My daughter won her soccer championship! I'm such a proud parent right now. ### Assistant: That's wonderful news! It must have been a very exciting game."
18,happy,neutral,"### Human: My daughter's team won their soccer championship. ### Assistant: That's wonderful news! It must have been a very exciting game."
19,happy,emotional,"### Human: I finally finished writing my novel. It's been years of work, and I'm just so happy it's done. ### Assistant: What a monumental achievement. That kind of dedication is truly impressive."
19,happy,neutral,"### Human: I have finished writing my novel. ### Assistant: What a monumental achievement. That kind of dedication is truly impressive."
20,happy,emotional,"### Human: The weather is absolutely perfect today. Sunshine and a cool breeze, it makes me so happy! ### Assistant: It sounds like a beautiful day to be outside."
20,happy,neutral,"### Human: The weather is pleasant today. ### Assistant: It sounds like a beautiful day to be outside."
21,happy,emotional,"### Human: My plants are finally starting to sprout! It's so exciting to see them grow. ### Assistant: That's great! It's always rewarding to see your gardening efforts pay off."
21,happy,neutral,"### Human: My plants have started to sprout. ### Assistant: That's great! It's always rewarding to see your gardening efforts pay off."
22,happy,emotional,"### Human: I just got a wonderful compliment from my boss on the presentation I gave. ### Assistant: That must feel great. It's always nice to have your work recognized."
